50 Cent
Abominable Snow Burns
Abraham Lincoln
Adam
Adam Savage
Adam West
Addem-up Spuckler
Adil Hoxha
Adolf Hitler
Adrian Belew
Aerosmith
Agent Malone
Agent Wessom
Ak
Akira
Al Gore
Al Gumble
Alan Moore
Alan Moore
Alan Wrench
Albert
Albert Einstein
Alberto
Alcatraaz
Alec Baldwin
Alex
Alex Jones
Alf
Alfie
Alfred Bouvier
Alfred Hitchcock
Ali Rudy Valée
Amid bin Laden
Amos Graycomb
An Alien
André Merlot
Andy
Andy Dick
Andy Hamilton
Andy Warhol
Angelo
Angry Dad
Annex Adminstrator
Anoop Nahasapeemapetilon
Anthony Bell
Anthony Hopkins
Antoine Bouvier
Anton Lubchenko
Antonio Salieri
Antonowski
Apu Nahasapeemapetilon
Apu Nahasapeemapetilon Sr.
Arcade Cashier
Archbishop McGee
Aristotle Amadopolis
Army Colonel
Arnie Gumble
Arnold
Arthur
Arthur Bouvier
Arthur Fortune
Asa
Ash Ketchum
Avery Devereaux
Avinash Dixit
Axel Bouvier
Axel Graycomb
Barney Fife
Barney Gumble
Baron von Herzenberger
Baron von Wortzenberger
Bart Cumberdale
Bartabe Barrows
Bartie Ziff
Bashir bin Laden
Beggar Relative
Ben
Ben Cartwright
Ben Heathbar
Bender Bending Rodriguez
Benevenstanciano
Bengt R. Holmström
Benito Mussolini
Benjamin
Benjamin Franklin
Bernard DeBoeuf
Bernie
Big Alberto
Big Daddy
Bill
Bill Clinton
Bill Gannon
Bill Gates
Bill James
Billy
Billy Ocean
Birch Barlow
Bishop Lovejoy
Bishop Ned
Black Weasel
Bleeding Gums Murphy
Blink-182
Blue Demon
Bob Arnold
Bob Balaban
Bob Belcher
Bob Costas
Bob Denver
Bob Dole
Bob Dylan
Bob Hope
Bobby Hill
Bobby Mindix
Bobo
Bobo Roulette
Bodhi
Boris Csupowski
Bort
Bossy Marmalade
Bowl-O-Rama Clerk
Boxcar Bob
Boz
Brad
Braedyn Hubbard
Brainy
Branford Marsalis
Brian Grazer
Brody McKenna
Bruce Udelhofen
Bruno Drundridge
Bubbles
Buck McCoy
Buck Mitchell
Bud Armstrong
Buddy Hodges
Buddy Holly
Bullfighter
Burly
Burns' Alien
Buzz Aldrin
C. Ebenezer Burns
C. W. McAllister
Caleb
Caleb Stemple
Calvin
Cameron
Cap'n Crunch
Captain Cook
Captain Hook
Captain Kwik
Captain Lance Murdock
Captain Mordecai Barrows
Captain Sensible
Cecil Pâté
Cesar
Chan Ho
Charlemagne Bouvier
Charles Darwin
Charles Heathbar
Charles Lindbergh
Charles Montgomery Burns
Charles O'Neal Burns
Charlie
Charlie Rose
Charlton Heston
Chazz Busby
Cheech
Chester Bellamy
Chester Bouvier
Chester Dupree
Chester Lampwick
Chett Englebrick
Chief
Chin Ho
Chinese Spy
Chip Davis
Chris Griffin
Chris Hansen
Christopher
Christopher Columbus
Christopher Lloyd
Chuck Ellis
Chuck Garabedian
Chuck Liddell
Chuck Muntz
Chucky
Cigi
Clancy Bouvier
Cleanie
Clerk
Cletus
Clifford Burns
Clovis Quimby
ClownFace
Coach Clay Roberts
Coach Flanagan
Coach Krupt
Cocoa
Cody Spuckler
Colby Krause
Coldplay
Colin
Colonel Klink
Colonel Leslie Hapablap
Comic Book Gay
Compost
Conformco Worker
Contractor
Cooder
Cookie
Cornelius Burns
Cornelius Morgan
Cornelius Talmadge
Cory Monteith
Cosine
Count Burns
Count Dracula
Count Fudge-ula
Count von Count
Coward
Cowboy Bob
Craig
Crane Operator
Crazy Talk
Cregg Demon
Cubby
Cyborg Bart
Cycloid Dolph
Cypress Creek Milhouse
Cyrus Quimby
Dakota
Dalai Lama
Dan Castellaneta
Dan Gillick
Dan Horde
Daniel Clowes
Daniel Trousseau
Danny
Dark Lord
Dark Stanley
Darryl Strawberry
Database
David
David Bernstein
David Byrne
David Copperfield
David Hyde Pierce
Dean
Declan Desmond
Denis Leary
Dennis
Dennis Franz
Devil
Devon Bradley
Dewey
Dewey Largo
Dexter Colt
Diablo
Dick Testiclees
Dick Tufeld
Diggs
Dink
Dionysus
Doctor Strange Doctor
Doctor Who
Don Bookner
Don Brodka
Don Castellaneta
Don Mattingly
Don Vittorio DiMaggio
Donald
Donald Trump
Donny
Doofy
Doug
Dr. Bartley
Dr. Bettleheim
Dr. Brentano
Dr. Demento
Dr. Egoyan
Dr. Foster
Dr. Hector von Colossus
Dr. John A. Zoidberg
Dr. Kissingher
Dr. Octopus
Dr. S
Dr. Swig McJigger
Draco Malfoy
Dry Duff
Dubya Spuckler
Dwight Diddlehopper
Dylan Spuckler
EA Mini Krusty
Earhart
Early Bird
Ed Demattia
Ed McMahon
Eddie
Eddie Muntz
Edgar Neubauer
Edmund
Edmund Bouvier
Eduardo Barcelona
Edward Christian
El Barto
El Chupacabra
El Divo
El Grampo
El Homo
El Puerco
Elf Dwarf
Elijah Hooper
Elisha Gray
Elliot
Elmo
Elon Musk
Elton John
Embry Joe Spuckler
Emile
Emperor Akihito
Engineer
Enrico Irritazio
Eric
Eric Keyes
Eric Von Burns
Erik
Erique Bouvier
Ernest Borgnine
Ernest Hemingway
Ernst
Estonian Dwarf
Ethan Ballantyne
Ethan Foley
Etienne Bouvier
Eugene Fisk
Evan Conover
Evil Homer
Evil House
Ewell Freestone
Ezekiel
Faberge Egg Seller
Fantastic Dan
Farmer Billy
Fat Tony
Fatov
Faun Largo
Fausto
