and	AND
'	APOSTROPHE
s	APOSTROPHE
&	BINDING
of	BINDING
(f|F)oot	DISTANCE
\d*ft	DISTANCE
inch(es)	DISTANCE
meter	DISTANCE
miles	DISTANCE
(F|f)amily	FAMILY
(|Fake|D|Euclid|Peanut) Street	LOCATION
(A|a)irport	LOCATION
(A|a)partment	LOCATION
(Alkali) Flats	LOCATION
(B|b)aseball (S|s)tadium	LOCATION
(bomb) (S|s)helter	LOCATION
(D|d)istrict	LOCATION
(D|d)owntown	LOCATION
(H|h)arbor	LOCATION
(H|h)ome	LOCATION
(H|h)ouse	LOCATION
(Mount|Mt.) (Carlmore|Seldom|Embolism)	LOCATION
(Noise) Land	LOCATION
(Proving) Grounds	LOCATION
(Shotgun|Plunderer) Pete 's	LOCATION
(ski|murder) H(h)ouse	LOCATION
(Summer) (M|m)ansion	LOCATION
(t|T)reehouse	LOCATION
(Tongue-Kiss|Inspiration) Point	LOCATION
(Walnut) Avenue	LOCATION
\d* Industr(ial|y) (|Access) (Way|Road)	LOCATION
A-Maize-Ing Maize Maze	LOCATION
Alley	LOCATION
aqueduct	LOCATION
Arena(dome)	LOCATION
Arms	LOCATION
Astroid	LOCATION
Ave(nue)	LOCATION
Bartovia	LOCATION
Bismark	LOCATION
Bowl-A-Rama	LOCATION
Brewery	LOCATION
Butabitari	LOCATION
Canada-USA Border	LOCATION
Canyon	LOCATION
Cape Fear	LOCATION
Capital City	LOCATION
Castle	LOCATION
Catfish Lake	LOCATION
Center	LOCATION
Chateau (d'if)	LOCATION
Cheddarbarrel Farm	LOCATION
Chichen Itza	LOCATION
Cisc O ' systems	LOCATION
Clinic 	LOCATION
Convention	LOCATION
Corners	LOCATION
Counter Truancy Unit	LOCATION
Country	LOCATION
Disco	LOCATION
Equalia	LOCATION
Estates	LOCATION
Ethnictown	LOCATION
Evergreen	LOCATION
Factory	LOCATION
Farm	LOCATION
Fiesta Terraces	LOCATION
Fort(ress)	LOCATION
French Polynesia	LOCATION
Gags	LOCATION
Garden	LOCATION
Gay Neighborhood	LOCATION
General Hospital	LOCATION
Gold Mine	LOCATION
Grassy Hilled Area	LOCATION
Graveyard	LOCATION
Ground	LOCATION
Guidopolis	LOCATION
Gym	LOCATION
Hal Roach	LOCATION
Headquarters	LOCATION
Heaven	LOCATION
Hell	LOCATION
Hellman Avenue Medical Plaza	LOCATION
Hollywood	LOCATION
Horrorfield	LOCATION
Hotel	LOCATION
Indian Burial Mound	LOCATION
Industrial	LOCATION
Island	LOCATION
Jetpack Disposal	LOCATION
Junkyard	LOCATION
Kozy Kabins	LOCATION
Lab	LOCATION
Laboratory	LOCATION
Lake Flaccid	LOCATION
Lanes	LOCATION
Lazy I Ranch	LOCATION
Line Islands	LOCATION
Main	LOCATION
Manor	LOCATION
Masai Mara	LOCATION
Museum	LOCATION
Netherlands	LOCATION
Oak	LOCATION
Ocean View Drive	LOCATION
Outlands	LOCATION
Palace	LOCATION
Paradise Pier	LOCATION
Parking Lot	LOCATION
Pawn Shop	LOCATION
Pillow Factory	LOCATION
Place	LOCATION
Planet	LOCATION
Quantum tunnel	LOCATION
Rat 's Nest	LOCATION
Recluse Ranch Estates	LOCATION
Refuge	LOCATION
Rigel	LOCATION
Road	LOCATION
Route	LOCATION
Rural	LOCATION
Rushmore	LOCATION
Satellite	LOCATION
School	LOCATION
Screamville	LOCATION
Shopping Cart	LOCATION
Skates 'n' Such Ice Rink	LOCATION
Skid Row	LOCATION
Sleep-Eazy Motel	LOCATION
Spinster City	LOCATION
Stadium	LOCATION
Suicidal Moron Pass	LOCATION
Surveillance Room	LOCATION
Taj Mahal	LOCATION
Terrace	LOCATION
Theatre	LOCATION
Tower	LOCATION
Town	LOCATION
Trappuccino	LOCATION
Village	LOCATION
Waterfront	LOCATION
Way	LOCATION
Work	LOCATION
World	LOCATION
Yuk-ingham	LOCATION
Zone	LOCATION
51-A	LOCATION 
Big T Theatre	LOCATION 
Cinderblock	LOCATION 
Civil War Prison	LOCATION 
Echo	LOCATION 
Holding Hands Point	LOCATION 
Maison	LOCATION 
Mount	LOCATION 
NoiseLand	LOCATION 
Park	LOCATION 
Pikeland	LOCATION 
Plaza	LOCATION 
Pressboard	LOCATION 
Proctorville	LOCATION 
Ranch(o)	LOCATION 
Refueling	LOCATION 
Salon	LOCATION
Street	LOCATION 
Sycamore	LOCATION 
Area	LOCATION  
Base	LOCATION  
Grand Canyon	LOCATION  
Peanut	LOCATION  
Prison	LOCATION   
Catholic	MISC
Protestant	MISC
Springsonian	MISC
Amish	MISC 
(C|c)ent(s)	MONEY
\d+(?:st|nd|rd|th)	ORDINAL
((B|M)illionaire) Camp	ORGANIZATION
(nuclear) power plant	ORGANIZATION
(T|B)oys (|``) (R|L) (|'') Us	ORGANIZATION
7-Eleven	ORGANIZATION
7¹¹	ORGANIZATION
A-1 Baby Crutch	ORGANIZATION
Abercrombie	ORGANIZATION
Aced Shoe	ORGANIZATION
Ah , Fudge ! Factory	ORGANIZATION
All Night Gym	ORGANIZATION
Alley McBalls	ORGANIZATION
Android	ORGANIZATION
Animal (Assistants|Psychotherapy)	ORGANIZATION
Antiques	ORGANIZATION
Aphrodite Inn	ORGANIZATION
Apollo	ORGANIZATION
Apop	ORGANIZATION
Apothecary	ORGANIZATION
Arby 's	ORGANIZATION
Arcade	ORGANIZATION
Are We	ORGANIZATION
Aristocrat	ORGANIZATION
Armstead	ORGANIZATION
Army	ORGANIZATION
Art	ORGANIZATION
Atomic-Con	ORGANIZATION
Au Nature(l)	ORGANIZATION
Augusta	ORGANIZATION
Automobiles	ORGANIZATION
Ayn Rand School for Tots	ORGANIZATION
Bagel Boy	ORGANIZATION
Bail Bonds	ORGANIZATION
Bait 'N' Brew	ORGANIZATION
Bakery	ORGANIZATION
Baksheesh	ORGANIZATION
Banana Dictatorship	ORGANIZATION
Bank	ORGANIZATION
Bar	ORGANIZATION
Barn	ORGANIZATION
Beachcomber Barber	ORGANIZATION
Beachwear	ORGANIZATION
Belle Frottage	ORGANIZATION
BetterThanTV.com	ORGANIZATION
Beyond	ORGANIZATION
Blockbuster	ORGANIZATION
Blocko(land)	ORGANIZATION
Blood	ORGANIZATION
Body Works	ORGANIZATION
Bon Dormin	ORGANIZATION
Boob Tubery	ORGANIZATION
Book Cellar	ORGANIZATION
Bookaccino	ORGANIZATION
Bookaccino 's	ORGANIZATION
Books	ORGANIZATION
Bootleg T-Shirt Emporium	ORGANIZATION
Boys R Us	ORGANIZATION
Broken-Home Chimney Repair	ORGANIZATION
Bureau	ORGANIZATION
Burp , Barf	ORGANIZATION
Caf(e|é)	ORGANIZATION
Calendars	ORGANIZATION
Candy Most Dandy	ORGANIZATION
Candy Shoppe	ORGANIZATION
Car Loft	ORGANIZATION
Casino	ORGANIZATION
Central	ORGANIZATION
Chalmskinn Productions	ORGANIZATION
Channel	ORGANIZATION
Christmas Tree Farm	ORGANIZATION
Cinnabun	ORGANIZATION
Circus	ORGANIZATION
City Morgue	ORGANIZATION
Classy Joe 's	ORGANIZATION
Clay Jars	ORGANIZATION
Cockamamie 's	ORGANIZATION
Compu-Global-Hyper-Mega-Net 	ORGANIZATION
Conformco	ORGANIZATION
Copy Jalopy	ORGANIZATION
Costington 's	ORGANIZATION
CostMo	ORGANIZATION
Crazy E.T.	ORGANIZATION
Creamatorium	ORGANIZATION
Crème de la Creams	ORGANIZATION
Cretaceous	ORGANIZATION
Cropduster	ORGANIZATION
Daycare	ORGANIZATION
Dead Lobster	ORGANIZATION
Deadly	ORGANIZATION
Deli-cat-essen	ORGANIZATION
Deluxe Sunday Brunch	ORGANIZATION
Dermatology	ORGANIZATION
Desires	ORGANIZATION
Dimwillie 's	ORGANIZATION
Diner	ORGANIZATION
Dingo Junction	ORGANIZATION
Discount	ORGANIZATION
Diz-Nee	ORGANIZATION
Do-Drugs	ORGANIZATION
Dome Depot	ORGANIZATION
Domicles For	ORGANIZATION
Dots	ORGANIZATION
Downer	ORGANIZATION
Dregs	ORGANIZATION
Drippin	ORGANIZATION
Drugstore	ORGANIZATION
Duff	ORGANIZATION
Dungeon	ORGANIZATION
Ear Piercery	ORGANIZATION
Eatie Gourmet 's 	ORGANIZATION
Edibles	ORGANIZATION
Electronics , Etc.	ORGANIZATION
Expensive Bros.	ORGANIZATION
Expressions	ORGANIZATION
Extra Horny Gentleman	ORGANIZATION
Eye Caramba	ORGANIZATION
Fab Abs	ORGANIZATION
Fancy Farms	ORGANIZATION
Fashion	ORGANIZATION
Fête Accompli	ORGANIZATION
Five Corners	ORGANIZATION
Flab-Away	ORGANIZATION
Flavor Ice Cream	ORGANIZATION
Flickeys	ORGANIZATION
Forbidden Barn	ORGANIZATION
Forgotten Amos Cookies	ORGANIZATION
Four Seasons	ORGANIZATION
Foxy Boxing	ORGANIZATION
Freak-E-Mart	ORGANIZATION
Fresh Squeezed Lemonade	ORGANIZATION
Fried Dough	ORGANIZATION
Frigid Falls	ORGANIZATION
Geezer Rock	ORGANIZATION
Giant 's Causeway	ORGANIZATION
Gilded Truffle	ORGANIZATION
Girdles N	ORGANIZATION
Girlesque	ORGANIZATION
Giuseppes workshop	ORGANIZATION
Glass-Blowing	ORGANIZATION
Goody	ORGANIZATION
Grocery	ORGANIZATION
Grub	ORGANIZATION
Guinness	ORGANIZATION
Guitar	ORGANIZATION
Gull Things Considered	ORGANIZATION
Gulp 'n' Blow	ORGANIZATION
Hailstone 	ORGANIZATION
Hairy Shearers 	ORGANIZATION
Hammocks	ORGANIZATION
Happy Sailor Tattoo Parlor	ORGANIZATION
Happy Sumo	ORGANIZATION
Hardware	ORGANIZATION
Hickton	ORGANIZATION
Honest John 's Computers	ORGANIZATION
Honey Me Mine	ORGANIZATION
Honey Pot	ORGANIZATION
Hour U-Stor-It	ORGANIZATION
Hungry Hun	ORGANIZATION
I Ca n't Believe It 's A Law Firm !	ORGANIZATION
I.P.O. Friday 's	ORGANIZATION
Ice Bridge	ORGANIZATION
Ice Cream Parlor	ORGANIZATION
In 'N' Out Ear Piercing	ORGANIZATION
Innermost Thoughts	ORGANIZATION
Insane in the	ORGANIZATION
Isotope	ORGANIZATION
It Blows	ORGANIZATION
Its a Wonderful Knife	ORGANIZATION
J.R.R. Toykin 's	ORGANIZATION
Java the Hut	ORGANIZATION
Jazz Hole	ORGANIZATION
Jazzy Goodtime 's	ORGANIZATION
Jerky Hut	ORGANIZATION
Just Rainsticks	ORGANIZATION
Kids Daykare	ORGANIZATION
King Toot	ORGANIZATION
Klaxons	ORGANIZATION
Knockers	ORGANIZATION
Krustyco Sweatshop	ORGANIZATION
Kwik-E-Mart	ORGANIZATION
Lackluster	ORGANIZATION
Lamborgotti	ORGANIZATION
Land-A-Man	ORGANIZATION
Leaf Garret	ORGANIZATION
Leftorium	ORGANIZATION
Litters O	ORGANIZATION
